X,Y,STORENAME,ADDRESS,ZIPCODE,PHONE,WARD,SSL,NOTES,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,PRESENT09,PRESENT10,PRESENT11,PRESENT12,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,PRESENT18,PRESENT22,PRESENT23,PRESENT24,PRESENT25,GIS_ID,XCOORD,YCOORD,MAR_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8574604.25539909,4719445.17205782,Target ,7828 GEORGIA AVENUE NW,20012,2028923822,Ward 4,2960    0017,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_1,397662.57,146280.07,300512,,{CE302122-4E8D-4DC7-845B-06563B993F66},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,641
-8574502.41761222,4719303.16647473,International Progresso Market,7719 GEORGIA AVENUE NW,20012,2025455015,Ward 4,2961    0810,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_2,397741.8,146169.97,285417,,{2C18863D-40DE-4F66-AA59-46F1C65D67F2},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,642
-8574695.2807224,4717056.12937713,Jocelyn’s Market ,6404 GEORGIA AVENUE NW,20012,2027227574,Ward 4,2945    0839,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_3,397591.16,144428,285334,,{A0B448C3-B3FB-49FE-B8BF-1FEBA3CEA642},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,643
-8580112.20151324,4716738.57023734,Magruder's,5626 CONNECTICUT AVENUE NW,20015,2024644946,Ward 3,1860    0013, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_4,393373.92,144184.19,263860,,{9ABE1C46-BB48-4110-B5BA-C6363CA3BD7A},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,644
-8579939.6968804,4716602.19713409,Safeway,5545 CONNECTICUT AVENUE NW,20015,2022446097,Ward 3,1867    0092, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_5,393508.13,144078.34,263999,,{902F540E-FE16-43A5-8010-CD84E94B28B7},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,645
-8574638.15893889,4716241.07232412,Walmart Supercenter,5929 GEORGIA AVENUE NW,20011,2027193770,Ward 4,2986    0039,Georgia Ave,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_6,397635.44,143796.02,254296,,{A40991EF-B8F3-44B5-AE35-48BD1C814681},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,646
-8571839.5121822,4715653.88077419,Walmart Supercenter,310 RIGGS ROAD NE,20011,2027564418,Ward 4,3748    0052,Riggs Road,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_7,399814.33,143340.35,311574,,{4BA6EDB6-4A42-4EBE-B792-63208B1427FE},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,647
-8573973.88748446,4715457.40887187,Tropimart International Foods,607 KENNEDY STREET NW,20011,2026272752,Ward 4,3207    0089,,,,,,,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,GroceryStorePt_8,398152.47,143188.21,246733,,{4FC86176-5DF9-44E1-B2C2-AFEA77046638},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,648
-8580936.13571715,4715414.28199539,Rodman’s ,5100 WISCONSIN AVENUE NW,20016,2023633466,Ward 3,1656    0009,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_9,392731.53,143157.89,265883,,{572E410A-B3F5-4080-AD0F-CAE80BCBB60A},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,649
-8572980.35515294,4714706.42247743,Avenue Supermarket,5010 1ST STREET NW,20011,2027261330,Ward 4,3403    0806,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_10,398925.97,142605.69,243587,,{676068FB-DF0B-4A78-896F-774E4BFD51D0},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,650
-8580418.9320805,4714384.47674144,Whole Foods Market,4530 40TH STREET NW,20016,2022375800,Ward 3,1770    0804,Tenleytown location,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_11,393133.54,142358.92,265175,,{341736A6-6C41-4077-A93A-673C56BC463F},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,651
-8580567.8539522,4714302.5575406,Target ,4500 WISCONSIN AVENUE NW,20016,2022925573,Ward 3,1730    0015,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_12,393017.52,142295.49,264422,,{13461840-7DAB-4095-842E-E0BE058C384E},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,652
-8582260.64664183,4713899.63011137,Wagshal’s Market ,4845 MASSACHUSETTS AVENUE NW,20016,2023630777,Ward 3,1499    0001,,,,,,,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,GroceryStorePt_13,391699.01,141984.27,284992,,{83901818-3431-43A2-9828-2782605BDA76},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,653
-8578633.12277831,4713725.75871691,Giant,4303 CONNECTICUT AVENUE NW,20008,2023648250,Ward 3,2049    0805, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_14,394523.79,141846.96,301784,,{A5398418-0FF0-4A39-80C8-117C98ABB687},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,654
-8574442.66310689,4713229.06895577,Yes! Organic,4100 GEORGIA AVENUE NW,20011,2022915790,Ward 4,2910    0810,Petworth,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_15,397786.99,141460.14,300492,,{67020644-0363-4EEF-BB0C-2F5EC3D7B9B5},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,655
-8575278.07622189,4713001.56559158,Morazan Grocery Store,3928 14TH STREET NW,20011,2027237480,Ward 4,2693    0044,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_70,397136.32,141283.89,259021,,{66C9FCED-A01E-41CD-B0E2-8C2FEE4DC7D3},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,656
-8570531.83922254,4712626.22354236,Yes! Organic,3809 12TH STREET NE,20017,2028327715,Ward 5,3925    0085,Brookland,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_17,400832.73,140992.28,30397,,{9393FE43-2ED5-4EDF-9759-3292D6A94B37},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,657
-8578059.12487094,4712488.14389056,Target ,3505 CONNECTICUT AVENUE NW,20008,2028923794,Ward 3,2222    0015,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_18,394970.18,140886.73,301779,,{4BB2D833-8123-4785-8757-A7A7AE7727B6},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,658
-8578044.72732009,4712399.89521441,Streets Market,3427 CONNECTICUT AVENUE NW ,20008,2022449114,Ward 3,2219    0809,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_19,394981.35,140818.27,219257,,{0BE52838-6678-4767-B12D-4DCD6CC38AF2},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,659
-8578033.99947068,4712388.96977246,Yes! Organic,3425 CONNECTICUT AVENUE NW,20008,2023631559,Ward 3,2219    0005,Cleveland Park,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_20,394989.7,140809.79,219254,,{99B96733-94BC-4168-996F-E13F7739FDD0},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,660
-8579727.02063813,4712272.34508557,Giant,3336 WISCONSIN AVENUE NW,20016,2022445922,Ward 3,1920    0844, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_71,393671.02,140720.27,223125,,{88889CB0-2908-48D6-89DC-9F2EA4E383E3},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,661
-8575283.62995377,4712493.80944705,Panam Grocery,3552 14TH STREET NW,20010,2025450290,Ward 1,2688    0054,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_21,397131.92,140889.71,243394,,{10A82BC1-1BFD-4D64-97FE-DD857E19B37B},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,662
-8575154.52002463,4711767.21894578,Giant,1345 PARK ROAD NW,20010,2027771077,Ward 1,2837    0079,Tivoli Square,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_23,397232.21,140326.39,297595,,{8A0BF12C-0187-411D-AF20-D20BCF51034F},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,663
-8575861.27928907,4711679.01670673,El Progreso Market,3158 MOUNT PLEASANT STREET NW,20010,2024621151,Ward 1,2596    1055,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_24,396681.69,140258.18,236467,,{7B9E3417-64EB-4153-A7C8-C5D5312ACC23},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,664
-8568797.67185622,4711571.0617514,Good Food Markets,2006 RHODE ISLAND AVENUE NE,20018,2022488494,Ward 5,4219    0030,,,,,,,,,,,,,,,,,No,No,No,No,GroceryStorePt_25,402183.58,140174.04,53027,,{EE5A54C1-FCF9-4438-AD63-D0068084835E},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,665
-8575272.77743953,4711550.63537857,Target,3100 14TH STREET NW,20010,2027773773,Ward 1,2674    0721, ,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_26,397140.04,140158.41,306304,,{E4D349AB-9F8A-4A4F-AE42-9E15C64AE5A9},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,666
-8576164.2070146,4710821.85422557,Safeway,1747 COLUMBIA ROAD NW,20009,2026670774,Ward 1,2580    0512, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_27,396445.44,139593.32,284083,,{7C1459D3-4205-465C-8589-CDC4A462B587},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,667
-8571590.42790062,4710483.112227,Save-A-Lot,514 RHODE ISLAND AVENUE NE,20002,2026363780,Ward 5,3629    0007, ,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,GroceryStorePt_72,400008.27,139329.72,288529,,{09F34878-24DD-4586-B191-15D479E733DF},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,668
-8576466.67343751,4710476.91554758,Yes! Organic,1825 COLUMBIA ROAD NW,20009,2024625150,Ward 1,2549    0636,Adams Morgan,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_29,396209.7,139325.82,295011,,{E4E3D6C8-C808-483E-B1FD-7C24CD0DF1F8},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,669
-8579572.96236729,4710352.40637122,Whole Foods Market,2323 WISCONSIN AVENUE NW,20007,2023335393,Ward 3,1299    1028,Georgetown,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_30,393789.84,139230.75,284358,,{7F249106-38C6-4211-9E2D-DE35D95AB1ED},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,670
-8566132.90639907,4710340.48418351,Costco Wholesale,2441 MARKET STREET NE,20018,2022698540,Ward 5,4327    0004,Costco,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_31,404259.71,139220.21,309925,,{582A1832-3715-4F9B-A072-024D908CED52},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,671
-8575172.51790231,4710327.77128426,Streets Market,2400 14TH STREET NW,20009,2022653300,Ward 1,2661    0864,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_32,397217.8,139209.69,234183,,{F7E5C73D-8053-4889-8B2A-84BE61889AB6},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,672
-8576447.87291277,4710326.90569975,Streets Market,1864 COLUMBIA ROAD NW,20009,2027580658,Ward 1,2551    0063,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_33,396224.29,139209.43,235402,,{A32952C5-FD79-4008-A590-64137F8F0F6C},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,673
-8574369.08241655,4710184.00998188,Whole Foods Market,967 FLORIDA AVENUE NW,20001,2025193400,Ward 1,2873    1102,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,GroceryStorePt_79,397861.5,139107.39,319123,,{7C0648AB-FB04-4997-85C8-EBAC703EA054},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,674
-8575120.68556082,4710005.07389535,Yes! Organic,2123 14TH STREET NW,20009,2022326603,Ward 1,0235    0204,14th Street,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,GroceryStorePt_35,397258.09,138959.31,306454,,{45FCE223-597A-4EE4-8E29-104D58F54BA1},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,675
-8582283.24599129,4709852.65264315,Safeway,4865 MACARTHUR BOULEVARD NW,20007,2023375649,Ward 3,1389    0025, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,GroceryStorePt_73,391678.11,138844.95,285004,,{B781FF71-032E-4647-86D6-214D329796D9},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,676
-8579247.13429013,4709834.27742406,Trader Joe's,2101 WISCONSIN AVENUE NW #A,20007,2029448403,Ward 3,1299    0321,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_36,394043.36,138828.56,279531,,{0A0E4B5E-71B9-4C2B-8AEC-B11810E99D37},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,677
-8569598.46669922,4709684.76742479,Target ,1515 NEW YORK AVENUE NE,20002,2029142396,Ward 5,4037    0011,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_37,401560.12,138710.47,311951,,{0C4314DD-09D6-4C23-A6C1-598EB3475C4F},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,678
-8579121.63747438,4709664.43644511,Safeway,1855 WISCONSIN AVENUE NW,20007,2023333223,Ward 2,1299    1040, ,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_38,394141.03,138696.71,224665,,{152A7BF1-F352-41DA-8C39-350BB15C9DA0},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,679
-8575190.35628744,4709660.85901655,Trader Joe's,1914 14TH STREET NW,20009,2029861591,Ward 2,0205    0847,14th Street NW,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_39,397203.72,138692.26,302384,,{20462FC5-F80E-4B9E-8453-C77D29F6814A},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,680
-8569774.39294194,4709639.51086546,Mom's Organic Market,1501 NEW YORK AVENUE NE,20002,2027913826,Ward 5,4037    0821,Mom's,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_40,401423.07,138675.33,311943,,{39DF581B-389F-4E1D-BDE3-AC542E23FAB1},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,681
-8575937.33401784,4709082.38347321,Safeway,1701 CORCORAN STREET NW,20009,2026676825,Ward 2,0155    0231, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_42,396621.59,138243.64,241699,,{490DC6A4-034E-4AF9-ACD1-569A11F60998},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,682
-8575337.53481378,4708716.37445412,Whole Foods Market,1440 P STREET NW ,20005,2023324300,Ward 2,0210    0128,Logan Circle,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_74,397088.79,137959.45,279174,,{E2BC2F94-FC35-429E-80F4-CCEFB72EB8A5},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,683
-8576984.80994366,4708715.09090635,Metro Supermarket,2130 P STREET NW #5,20037,2028333720,Ward 2,0068    0088,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_43,395805.35,137959.03,298500,,{C99935D3-E9F5-4B87-B33E-567C27861A84},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,684
-8574063.76879559,4708612.1725182,Giant,1400 7TH STREET NW,20001,2022380180,Ward 2,0398    0836,O Street Market,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_44,398081.2,137878.29,304153,,{3B7BC6D4-B9C8-47C2-A6E3-3ABC4B866128},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,685
